observation_date,CANSLRTTO01MLSAM
01/04/2010,41052695478
01/05/2010,40794756762
01/06/2010,41281124257
01/07/2010,41339051172
01/08/2010,41351073739
01/09/2010,41495344547
01/10/2010,41372932953
01/11/2010,42021058626
01/12/2010,41709564837
01/01/2011,41458183884
01/02/2011,41674590096
01/03/2011,41518296721
01/04/2011,41716122601
01/05/2011,41399164009
01/06/2011,42318343927
01/07/2011,41898647032
01/08/2011,41878973740
01/09/2011,41924878088
01/10/2011,42181723844
01/11/2011,42257138129
01/12/2011,43015652830
01/01/2012,42607978502
01/02/2012,42487752829
01/03/2012,42816733989
01/04/2012,42163143512
01/05/2012,42440755521
01/06/2012,42742412664
01/07/2012,42762085956
01/08/2012,42557702312
01/09/2012,42538029020
01/10/2012,42595955935
01/11/2012,42804711422
01/12/2012,42770829641
01/01/2013,43270312664
01/02/2013,42941331505
01/03/2013,43331518462
01/04/2013,43476882230
01/05/2013,44283487199
01/06/2013,43805863389
01/07/2013,44219002520
01/08/2013,44552355523
01/09/2013,44367645170
01/10/2013,44687882645
01/11/2013,44784063183
01/12/2013,44590609146
01/01/2014,45036537096
01/02/2014,45037630057
01/03/2014,44972052417
01/04/2014,45479186165
01/05/2014,45586296310
01/06/2014,45927300037
01/07/2014,46243165669
01/08/2014,46160100658
01/09/2014,46430061942
01/10/2014,46413667532
01/11/2014,46465036684
01/12/2014,46833364427
01/01/2015,45750240410
01/02/2015,46242072708
01/03/2015,46435526746
01/04/2015,46589634199
01/05/2015,46554659458
01/06/2015,46679256974
01/07/2015,46949218257
01/08/2015,47231202109
01/09/2015,47604994656
01/10/2015,47323010804
01/11/2015,47574391757
01/12/2015,47519743724
01/01/2016,48271700660
01/02/2016,48857527576
01/03/2016,48224703352
01/04/2016,48446574366
01/05/2016,48009390101
01/06/2016,48223610391
01/07/2016,48379903766
01/08/2016,48471712462
01/09/2016,49053167535
01/10/2016,49112187410
01/11/2016,49588718260
01/12/2016,49891468363
01/01/2017,50138000000
01/02/2017,49903000000
01/03/2017,50350000000
01/04/2017,51034000000
01/05/2017,51193000000
01/06/2017,51416000000
01/07/2017,51359000000
01/08/2017,51211000000
01/09/2017,50838000000
01/10/2017,52349000000
01/11/2017,51343000000
01/12/2017,51289000000
01/01/2018,51354000000
01/02/2018,51072000000
01/03/2018,51134000000
01/04/2018,51154000000
01/05/2018,52583000000
01/06/2018,52286000000
01/07/2018,52020000000
01/08/2018,52164000000
01/09/2018,52503000000
01/10/2018,52555000000
01/11/2018,52057000000
01/12/2018,52492000000
01/01/2019,52121000000
01/02/2019,51805000000
01/03/2019,52069000000
01/04/2019,52062000000
01/05/2019,52195000000
01/06/2019,52252000000
01/07/2019,52652000000
